name,id,demand class,base price,export value,price variability,utility,origin,tags,stack size,cargo space,icon,sound id,sound id drop,order,economyTier,econUnit,iconWidthMult,plugin,desc
Supplies,supplies,supplies,100,250,3,1,,military,1000,1,graphics/icons/cargo/supplies.png,ui_cargo_supplies,ui_cargo_supplies_drop,0.5,2.1,200,0.9,,
Fuel,fuel,fuel,25,750,3,1,,military,1000,0,graphics/icons/cargo/fuel.png,ui_cargo_fuel,ui_cargo_fuel_drop,0.75,2,500,0.6,,
Crew,crew,crew,50,0,3,1,,"crew, personnel",1000,0,graphics/icons/cargo/crew02.png,ui_cargo_crew,ui_cargo_crew_drop,0.8,3.1,200,0.6,,
Marines,marines,marines,200,0,3,1,,"marines, military, personnel",1000,0,graphics/icons/cargo/marine.png,ui_cargo_marines,ui_cargo_marines_drop,0.9,3.4,200,0.6,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Food,food,food,20,1000,3,1,,food,1000,1,graphics/icons/cargo/food.png,ui_cargo_food,ui_cargo_food_drop,13,1,500,1,,
Organics,organics,organics,30,500,3,1,,,1000,1,graphics/icons/cargo/organics.png,ui_cargo_organics,ui_cargo_organics_drop,12,0,500,1,,
Volatiles,volatiles,volatiles,250,5000,3,1,,,1000,1,graphics/icons/cargo/volatilesB.png,ui_cargo_volatiles,ui_cargo_volatiles_drop,11,1.2,100,1,,
Ore,ore,ore,10,1500,3,1,,,1000,1,graphics/icons/cargo/ore.png,ui_cargo_ore,ui_cargo_ore_drop,10,0.2,500,1,,
Transplutonic Ore,rare_ore,rare_ore,75,2000,3,1,,,1000,1,graphics/icons/cargo/rareore.png,ui_cargo_rareore,ui_cargo_rareore_drop,9,0.3,200,1,,
Metals,metals,metals,30,3000,3,1,,,1000,1,graphics/icons/cargo/materials.png,ui_cargo_metals,ui_cargo_metals_drop,8,1.1,500,1,,
Transplutonics,rare_metals,rare_metals,200,6000,3,1,,,1000,1,graphics/icons/cargo/raremetals.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,7,1.2,100,1,,
Heavy Machinery,heavy_machinery,heavy_machinery,150,500,3,1,,,1000,1,graphics/icons/cargo/heavymachinery.png,ui_cargo_machinery,ui_cargo_machinery_drop,0.95,2.2,100,1,,
Domestic Goods,domestic_goods,domestic_goods,50,300,3,1,,,1000,1,graphics/icons/cargo/goods.png,ui_cargo_goods,ui_cargo_goods_drop,5,2.3,200,1,,
,,,,,,,,,,,,,,,,,,,
Harvested Organs,organs,organs,300,2000,3,1,,medical,1000,1,graphics/icons/cargo/organs.png,ui_cargo_organs,ui_cargo_organs_drop,4,2.4,200,0.7,,
Recreational Drugs,drugs,drugs,200,1500,3,1,,,1000,1,graphics/icons/cargo/recdrugs.png,ui_cargo_drugs,ui_cargo_drugs_drop,3,2.5,200,0.75,,
Heavy Armaments,hand_weapons,hand_weapons,500,500,3,1,,military,1000,1,graphics/icons/cargo/heavyweapons.png,ui_cargo_handweapons,ui_cargo_handweapons_drop,2,2.6,100,1,,
Luxury Goods,luxury_goods,luxury_goods,100,500,3,1,,luxury,1000,1,graphics/icons/cargo/luxurygoods.png,ui_cargo_luxury,ui_cargo_luxury_drop,1,2.7,200,1,,
Volturnian Lobster,lobster,luxury_goods,,,,1,volturn,"exotic, luxury",1000,1,graphics/icons/cargo/lobster.png,ui_cargo_luxury,ui_cargo_luxury_drop,1.1,2.8,200,1,,
,,,,,,,,,,,,,,,,,,,
Ship Hulls & Weapons,ships,ships,100,300,3,1,,meta,1000,1,graphics/ships/hound/hound_base.png,,,10,4,200,1,,
,,,,,,,,,,,,,,,,,,,
AI Cores,ai_cores,ai_cores,1000,,0,1,,"nonecon, ai_core",1000,1,graphics/icons/cargo/ai_core_gamma.png,ui_chip_pickup,ui_fighter_drop,30,,,1,,
Alpha Core,alpha_core,ai_cores,,,0,150,,"nonecon, ai_core, no_loss_from_combat",1000,1,graphics/icons/cargo/ai_core_alpha.png,ui_chip_pickup,ui_alpha_core_drop,40,,,1,,
Beta Core,beta_core,ai_cores,,,0,30,,"nonecon, ai_core, no_loss_from_combat",1000,1,graphics/icons/cargo/ai_core_beta.png,ui_chip_pickup,ui_beta_core_drop,39,,,1,,
Gamma Core,gamma_core,ai_cores,,,0,10,,"nonecon, ai_core, no_loss_from_combat",1000,1,graphics/icons/cargo/ai_core_gamma.png,ui_chip_pickup,ui_gamma_core_drop,38,,,1,,
,,,,,,,,,,,,,,,,,,,
Survey Data,survey_data,survey_data,1000,,0,1,,nonecon,1000,1,graphics/icons/cargo/survey_data.png,ui_chip_pickup,ui_modspec_drop,50,,,1,,
Class I Survey Data,survey_data_1,survey_data,,,0,1,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data1.png,ui_chip_pickup,ui_modspec_drop,45,,,1,,
Class II Survey Data,survey_data_2,survey_data,,,0,3,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data2.png,ui_chip_pickup,ui_modspec_drop,46,,,1,,
Class III Survey Data,survey_data_3,survey_data,,,0,5,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data3.png,ui_chip_pickup,ui_modspec_drop,47,,,1,,
Class IV Survey Data,survey_data_4,survey_data,,,0,10,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data4.png,ui_chip_pickup,ui_modspec_drop,48,,,1,,
Class V Survey Data,survey_data_5,survey_data,,,0,30,,"nonecon, no_loss_from_combat",1000,1,graphics/icons/cargo/survey_data5.png,ui_chip_pickup,ui_modspec_drop,49,,,1,,