name,id,planetary,decivRemove,script,desc,icon,order
도시화,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"빽빽한 세계적 인구 중심지입니다. 쌓아올려진 주거 단지, 상업 구역과 구획화된 작업장에서 모든 종류의 인간 군상들이 생활하고 일하다 죽어갑니다.",graphics/icons/markets/urbanized_polity.png,130
산업화,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"번화한 산업 중심지입니다. 지역 정부는 산업의 활성화를 장려하는 정책을 펼치지만, 때로는 그 때문에 다른 문제점들이 생겨나기도 합니다.",graphics/icons/markets/urbanized_polity.png,130
전원 지방,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion.",graphics/icons/markets/rural_polity.png,130
대규모 난민,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions.",graphics/icons/markets/refugee_population.png,140
볼턴 랍스터 양식장,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional.,graphics/icons/markets/lobster_pens.png,137
악습 수요,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,여기는 불법인 상품에 대한 수요가 매우 높습니다.,graphics/icons/markets/vice_demand.png,145
조직 범죄,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,범죄자들이 약물과 인공 장기를 생산하고 있습니다. 군용무기(갱단과 현지 주민들로 부터)와 해병(현지 행정당국으로 부터)에 대한 수요가 높습니다.,graphics/icons/markets/organized_crime.png,148
변경 지역,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"인구가 집중된 지역에서 멀리 떨어져 있는 변경지역에서는 단순히 생존, 자립이 규칙입니다. 무기, 보급품에 대한 수요가 높고 사치품에 대한 수요는 낮습니다.",graphics/icons/markets/frontier.png,130
선박 해체 중심지,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,선박 해체 중심지인 이곳에서는 코어 섹터의 주요 세력들의 해군들과 고객들의 선체들이 스크랩되고 있습니다. ,graphics/icons/markets/shipbreaking.png,360
무역 중심지,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,무역 중심지인 이곳은 섹터 전역에서 상선들이 고객들은 위한 물건을 구하고 수익을 낼 물건들을 구입하기 위해서 옵니다.,graphics/icons/markets/trade_center.png,280
문명 붕괴,decivilized,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"이 행성을 통치하는 정치 세력이 없습니다. 문명이 붕괴했으며 현재 인구는 알 수 없으나 몇몇 생존자 그룹과, 약탈자들만 있는 것으로 보입니다.",graphics/icons/markets/decivilized.png,130
문명 재건,decivilized_subpop,,TRUE,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"Civilization has been brough back to parts of $market, often at the point of a gauss rifle. However, an effectively unknown population of survivors, bandits, and looters still remains on the fringes.",graphics/icons/markets/decivilized.png,130
버려진 정류장,abandoned_station,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,이 정거장은 버려졌습니다.,graphics/icons/markets/abandoned.png,130
가내 수공업,cottage_industry,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$market은 기술이 필요없는 노동집약적인 경공업이 발전해 있습니다. 높은 연로, 원재료로 비효율적이지만 매력적인 수공예품을 생산하고 있습니다.",graphics/icons/markets/cottage_industry.png,230
전초 기지,outpost,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,$market은(는) 군대의 주둔지나 거대한 우주선같이 확고한 명령 체계로 운영됩니다. 이로써 안정도가 증가하지만 내부 보안 문제를 해결하기 위해서 전용 인력이 필요합니다.,graphics/icons/markets/outpost.png,130
러드교도 다수,luddic_majority,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,"$market이 러드 교회에 의해서 통치되면 안정도가 증가하고, 그렇지 않으면 감소합니다. 러드교의 금욕적인 기풍이 사치품에 대한 수요를 낮춥니다.",graphics/icons/markets/luddic_majority.png,142
기뢰 지대,stealth_minefields,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,기뢰 지대가 외부 세력으로부터 $market을 지켜줍니다. 안정도가 증가합니다.,graphics/icons/markets/stealth_mines.png,510
지역 수도,regional_capital,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"행정, 안보, 물류의 중심지입니다. 안정도가 증가합니다.",graphics/icons/markets/capital.png,500
자유 항구,free_market,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,현지 행정당국이 어떤 물건이 수출입 되는지에 대해서 일체의 간섭을 하지 않습니다. 이민에 대한 통제도 거의 없어서 많은 사람들이 유입됩니다(그 중에는 수상한 사람도 있습니다.). 이러한 조치들은 다른 팩션들이 이 식민지를 믿을 수 없게 만듭니다.,graphics/icons/markets/free_port.png,141
이주 금지,closed_immigration,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,공식적으로 $market으로의 이민은 허용되지 않습니다.  이주 금지로 인해 이 행성으로의 이민은 거의 없으며 특정 범죄에 대한 수요를 만들어 내고 있습니다.,graphics/icons/markets/vice_demand.png,142
,,,,,,,
거주 불가,uninhabitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,황량한 행성으로 $market의 지표는 우리가 아는 유기물이 생존하지 못하며 지붕이 있는 인공적인 생태계 밖에서는 농사가 불가능합니다.,graphics/icons/markets/uninhabitable_wide.png,10
얼음 행성,ice,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"$market's average temperature is far below the freezing point of water and some common terran atmospheric gases fall as snow. The drifts and glaciers of light, volatile elements may be harvested.",graphics/icons/markets/ice_world_wide.png,10
사막 행성,desert,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$market: 사막 행성입니다. 사막 생태계가 가벼운 마스크 착용만으로 호흡할 수 있는 대기를 만들어 주고 있습니다. 농사는 거의 불가능합니다.,graphics/icons/markets/desert_world_wide.png,10
건조 행성,arid,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,$market은 넓은 건조한 평원과 불모지로 가득차 있습니다. 물은 희귀하며 대규모로 농사를 하기는 어렵습니다.,graphics/icons/markets/arid_world_wide.png,10
바다 행성,water,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,$market의 기후는 온화하지만 농사는 수경재배 밖에 하지 못합니다. 또한 거주지와 산업을 발전시키는데 특수한 인프라가 필요합니다. ,graphics/icons/markets/water_world_wide.png,10
정글 행성,jungle,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,$market은 이색적인 생명체와 뺵뺵하게 우거진 식물들로 가득한 습하고 따뜻한 정글 행성으로 농사와 인프라를 구축하기가 어렵습니다.,graphics/icons/markets/jungle_world_wide.png,10
지구형 행성,terran,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,$market은 옛 지구의 환경과 거의 비슷하며 거주와 농업에 최적의 조건을 갖추고 있습니다.,graphics/icons/markets/terran_world_wide.png,10
Barren-marginal World,barren_marginal,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inhospitable and unforgiving, outside conditions on $market are barely survivable to a human with an air mask and protective equipment, though certain engineered terraforming lichens find it tolerable enough.",graphics/icons/markets/barren_desert_wide.png,10
황혼 행성,twilight,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Tidally locked to its primary, or near enough, $market is a terraformed world with days the length of seasons. Day/night temperature variation is accordingly harsh even to engineered terran life. Islands of 'civilized' mild biomes are maintained through judicious use of solar shades and mirrors. ",graphics/icons/markets/twilight_terran_world.png,10
툰드라 행성,tundra,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"Terraforming has brought terran life to $market but the world remains as cold as the deepest of Earth's ice ages. Though millions of square kilometers are covered in glacier, there are also taiga provinces and rolling steppe where warmer conditions prevail.",graphics/icons/markets/tundra_terran_wide.png,10
저온 화산 행성,cryovolcanic,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"A world frozen beyond deepest chill, methane snow falls on mountains of water-ice and volcanos erupt with ammonia. Stellar radiation breaks down the volatiles to form an atmosphere of light gases such as nitrogen and oxygen while hydrogen is whisked into space. ",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,
불만 ,dissident,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$market is a dumping-ground for dissidents, rebels, free-thinkers, artists, and other troublemakers. Increases demand for weapons and marines to police the rabble. Increases availability of crew due to emigration.",graphics/icons/markets/dissidents.png,139
사령부,headquarters,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,$market은 군 명령체계와 보급선의 중추입니다.  안정도가 증가합니다.,graphics/icons/markets/headquarters.png,360
수경 재배 단지,hydroponics_complex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Sealed-biosphere agricultural production facilities which allow farming in orbit or on the surface of inhospitable worlds. Requires crew to operate, organic growth medium, and heavy machinery for upkeep.",graphics/icons/markets/hydroponics.png,120
,,,,,,,
인구,population_1,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,수십명이 이곳에 거주하고 있습니다.,graphics/icons/markets/population01.png,20
인구,population_2,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,수백명의 사람들이 $market에 살고 있습니다.,graphics/icons/markets/population02.png,20
인구,population_3,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,수천명의 사람들이 $market에 거주합니다.,graphics/icons/markets/population03.png,20
인구,population_4,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,수만명의 사람들이 $market에서 살아가고 있습니다.,graphics/icons/markets/population04.png,20
인구,population_5,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market은(는) 수십만의 사람들의 집입니다.,graphics/icons/markets/population05.png,20
인구,population_6,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market의 인구는 수백만명입니다.,graphics/icons/markets/population06.png,20
인구,population_7,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market은(는) 수천만명이 거주하는 행성입니다.,graphics/icons/markets/population07.png,20
인구,population_8,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market처럼 수억명의 인구를 자랑하는 행성은 섹터에 몇 되지 않습니다.,graphics/icons/markets/population08.png,20
인구,population_9,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,위험한 은하계에서 인류에게 귀중한 피난처가 되는 $market은(는) 수십억의 영혼들의 집입니다.,graphics/icons/markets/population09.png,20
인구,population_10,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,섹터의 주요 인구 중심지인 $market에는 수백억명이 거주합니다. 옛 지구에 견줄만 한 행성입니다.,graphics/icons/markets/population10.png,20
,,,,,,,
,,,,,,,
,,,,,,,
# event-related market conditions,,,,,,,
식량난,event_food_shortage,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"$market은(는) 현재 일시적인 식량 부족을 겪고 있습니다.
- $stabilityPenalty 만큼 안정도 감소
- $needed 식량으로 식량난을 종식할 수 있음.
- 식량 공급 부족으로 식량 가격이 상승함
- 식량 판매로 평판과 경험치가 추가로 상승함",graphics/icons/markets/food_shortage.png,1000
Recent Unrest,recent_unrest,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$market has recently experienced tumultous events with a lingering effect on stability.,graphics/icons/markets/recent_unrest.png,2000
Trade Disruption,event_trade_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"$market으로 향하는 무역 함대가 심각한 피해를 받았습니다. 아마 해적이나 전쟁으로 인한 피해일 것입니다. 

다음과 같은 상품들이 영향 받음:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
밀수,event_smuggling,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market is experiencing a high volume of smuggling activity.

- Stability reduced by $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
행성계 내 현상금,event_bounty,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
인공지능 위협,rogue_ai_core,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"$market 또는 그 인근에서 활동하는 통제 불능의 AI 코어가 있습니다. 그것이 가지고 있을 장기적 계획과 목표는, 스스로의 생존을 제외하면, 알 수 없습니다.

At a minimum, the need to be on guard against its possible actions makes day-to-day operations less efficient and creates fertile ground for alarming rumours.",graphics/icons/markets/rogue_ai.png,1200
AI Core Admin (hidden),ai_core_admin,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Hidden condition to track when the core becomes un-removable. Does not need an icon.,graphics/icons/markets/rogue_ai.png,1000
해적 활동,pirate_activity,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"There have been signs that pirates are targeting shipping and colonies in this system - from port inspectors being pressured to turn a blind eye, to inconsistencies in cargo manifests, to other increased criminal activity.

The pirates most likely have a base somewhere relatively nearby.",graphics/icons/markets/pirate_activity.png,1300
러드의 길 활동,pather_cells,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,
# stand-alone conditions,,,,,,,
무역 교란,shipping_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,
# misc,,,,,,,
Comm Relay (hidden),comm_relay,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Hidden condition; does not need icon.,,
,,,,,,,
,,,,,,,
# procgen conditions,,,,,,,
거주 가능,habitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorMedium,Human beings can survive unprotected exposure to the surface conditions of $market.,graphics/icons/markets/habitable.png,21
,,,,,,,
,,,,,,,
Scattered Ruins,ruins_scattered,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This world was only lightly touched by the great project of the Domain before the collapse. Only scattered, broken domes remain, perchance holding lost caches of valuable materials.",graphics/icons/markets/ruins_scattered.png,100
Widespread Ruins,ruins_widespread,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Widespread ruins, blips from radiation sources, and the distinctive burred radar-ping of foamed cerametal structures can be found across $market, evidence of a small but concerted colonization effort dating to the late expansion period of the Domain.",graphics/icons/markets/ruins_widespread.png,100
Extensive Ruins,ruins_extensive,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ruined cities can be found across the surface of $market, spilling from their broken hearts pitted roadways and crumbling magrail lines to the skeletons of factories, aquaponics domes, and comm-towers.",graphics/icons/markets/ruins_extensive.png,100
Vast Ruins,ruins_vast,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is covered in vast ruins; cities, factories, mines, farms, homes. The dead are in dread abundance, entwined with salvageable materials, goods, tools, and weapons. This world is a tomb for the hubris of the Domain's project of galactic colonization and hegemony. ",graphics/icons/markets/ruins_vast.png,100
,,,,,,,
,,,,,,,
저온,cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The low temperatures found on $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",graphics/icons/markets/cold.png,25
극저온,very_cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme cold necessitates specialized equipment and protocol to perform operations safely on $market, complicating logistics, life support, and infrastructure.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,
고온,hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The high temperature conditions of $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",graphics/icons/markets/hot.png,25
극고온,very_hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme heat necessitates specialized equipment and protocol to safely operate on $market, seriously complicating logistics, life support, and long-term stability of infrastructure.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,
,,,,,,,
지각 변동,tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The surface of $market is unstable and prone to violent quakes. Any structures require special reinforcement and any excavation will involve a great deal of risk.,graphics/icons/markets/tectonic.png,26
활발한 지각 변동,extreme_tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market's crust roils chaotically with extreme quakes and cataclysmic volcanism events. Any operations will require exceptional care and use of many-times redundant warning systems so that the worst dangers can be avoided. Construction on this world can only ever be considered semi-permanent.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,
,,,,,,,
대기 없음,no_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"No appreciable atmosphere exists on $market. Its surface is exposed to the hard weathering of space, a steady drizzle of radiation and micrometeorites.",graphics/icons/markets/atmosphere_none.png,27
얇은 대기,thin_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A rarefied atmosphere clings determinedly to $market's surface.,graphics/icons/markets/atmosphere_thin.png,27
독성 대기,toxic_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The atmosphere of $market is exceptionally toxic and corrosive, abrading unprotected surfaces and requiring the hermetic sealing of any inhabited spaces.",graphics/icons/markets/atmosphere_toxic.png,27
짙은 대기,dense_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The surface of $market is shrouded in a thick atmosphere, turbulent vortices at its crown and a cloying soup at its lowest foothold. Sensors are impaired, and operations must be made with care.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,
,,,,,,,
온화한 기후,mild_climate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorHigh,The climate of $market is welcoming and docile; a light mist greets each sunrise before retreating into soft clouds that glow appealingly at every sunset.,graphics/icons/markets/climate_mild.png,28
극단적 기후,extreme_weather,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Violent storms bristling lightning rage across the skies of $market. Though a sublime beauty from orbit, this produces harsh surface conditions making transportation and habitation highly inconvenient.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,
저중력,low_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"Gravity is exceptionally low, though significantly above zero-g, on the surface of $market. Workflow and operation of (relatively) heavy machinery is complicated by the non-standard procedures required to deal with altered conditions of friction, weight, and pressure dynamics.",graphics/icons/markets/gravity_low.png,24
고중력,high_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,The force of gravity on the surface of $market is crushingly high. Humans require powered exoskeletons for regular movement and find even basic actions exhausting. Continual habitation is grueling at best. All operations take place with a heightened danger of falls and - if specialized engineering is not performed with adequete paranoia - structural collapse.,graphics/icons/markets/gravity_high.png,24
,,,,,,,
방사능 오염,irradiated,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The surface of $market is ravaged by radiation. Any living being must be confined to a shielded habitat to live for long here. Unhardened circuits and nanoscale materials or machinery will also rapidly fail in these harsh conditions.,graphics/icons/markets/irradiated.png,29
,,,,,,,
,,,,,,,
적대적 생물권,inimical_biosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"The biosphere of $market is deadly to unprotected human beings. While the conditions are fascinating to biological scientists, surface technicians are hampered by strict quarantine protocols when carrying out normal tasks.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,
액체 ,바다 행성,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,이 행성은 착륙하거나 걷거나 건물을 지을 수 있는 단단한 표면이 없는 바다 행성입니다. 이 행성에서의 작업은 특수한 훈련과 장비가 필요하기에 난이도가 높습니다.,graphics/icons/markets/water_covered.png,31
,,,,,,,
빛이 적음,어두움,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The light of $market's primary only provides feeble illumination and energy to this world.,graphics/icons/markets/poor_light.png,32
암흑,암흑,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The surface of $market is dark and full of shadow, receiving effectively zero illumination from its primary.",graphics/icons/markets/darkness.png,32
,,,,,,,
운석 충돌,meteor_impacts,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This world is bombarded at an appalling rate by regular meteor-showers. Any human inhabitant, however temporary, must keep a wary eye skyward. Any permanent installations would be best buried deep and well fortified.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,
,,,,,,,
공해,오염됨,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"Human industry has left this world filled with dioxins, sulphur compounds, ash, and the steady ticking of decaying radioactive dust. Scraps of plastic cling to shards of foam-metal, the sky tuned to a dead channel.",graphics/icons/markets/pollution.png,110
,,,,,,,
,,,,,,,
드문 광물 매장량,ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"A few sparse ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",graphics/icons/markets/ore_sparse.png,50
적당한 광물 매장량,ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market contains moderate ore deposits that, under the right economic conditions, could be profitably exploited.",graphics/icons/markets/ore_moderate.png,50
풍부한 광물 매장량,ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Abundant, widespread, and profitably extractable ore deposits can be found on $market.",graphics/icons/markets/ore_abundant.png,50
매우 풍부한 광물 매장량,ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Rich mineral deposits form a thick lattice within the crust of $market but require an ambitious industrialist to exploit them for fabulous profit.,graphics/icons/markets/ore_rich.png,50
엄청나게 풍부한 광물 매장량,ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Mineral wealth exists on Midas-touched $market beyond the wildest fantasies of the legendary mining megacorps of the Domain era.,graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,
,,,,,,,
드문 희귀 광물 매장량,rare_ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"A few sparse transplutonic ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",graphics/icons/markets/rareore_sparse.png,60
적당한 희귀 광물 매장량,rare_ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market contains modest transplutonic deposits that, with sustained industry and investment, could be profitably tapped.",graphics/icons/markets/rareore_moderate.png,60
풍부한 희귀 광물 매장량,rare_ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Abundant transplutonic deposits lay within the crust of $market, enough to fuel the ambitions of any worthwhile warlord or magnate.",graphics/icons/markets/rareore_abundant.png,60
매우 풍부한 희귀 광물 매장량,rare_ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Thick bands of transplutonics spread with glorious profusion through the crust of $market, promising great and potent power to they who would but reach out and take them.",graphics/icons/markets/rareore_rich.png,60
엄청나게 풍부한 희귀 광물 매장량,rare_ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,The transplutonic deposits glimmering with unbelievable density on the sensor-grid evoke portents of a power which could forge mighty war-fleets to burn worlds to ash -- or an eon of splendour and wealth for a polity of crystal towers as existed in the pre-collapse cycles of the Domain.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,
,,,,,,,
드문 휘발성 기체 매장량,volatiles_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,The trace volatiles found here barely warrant harvesting.,graphics/icons/markets/volatiles_trace.png,40
적당한 휘발성 기체 매장량,volatiles_diffuse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Diffuse volatiles can be found here, and may be sufficient for industrial extraction.",graphics/icons/markets/volatiles_diffuse.png,40
풍부한 휘발성 기체 매장량,volatiles_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Abundant volatiles may be economically extracted from $market.,graphics/icons/markets/volatiles_abundant.png,40
매우 풍부한 휘발성 기체 매장량,volatiles_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market is a world-sized wellspring of volatiles - rich, deep, and potent.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,
,,,,,,,
드문 유기물,organics_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market은(는) 수확할 만한 유기물이 거의 존재하지 않지만 아주 약간은 수확할 수 있을 듯 합니다,graphics/icons/markets/organics_trace.png,38
흔한 유기물,organics_common,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market에서는 경제적으로 의미있는 양의 유기물을 발견할 수 있습니다.,graphics/icons/markets/organics_common.png,38
풍부한 유기물,organics_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A river of wealth flows beneath the surface of $market - for those that would find and tap it. ,graphics/icons/markets/organics_abundant.png,38
매우 풍부한 유기물,organics_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Reservoirs of valuable organics burst through the surface of $market in gouts over deep, dark pools that promise oceans of wealth to be found just below.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,
,,,,,,,
저급 농지,farmland_poor,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Plant life grows only stunted and wearily here. It would require farmers with talent equal to their desperation to make these lands bear fruit.,graphics/icons/markets/farmland_poor.png,70
평범한 농지,farmland_adequate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A robust terran-compatible biosphere allows agricultural cultivation to take place on $market.,graphics/icons/markets/farmland_adequate.png,70
비옥한 농지,farmland_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,The fields of $market promise a rich harvest to reward the farmers that work these fertile lands.,graphics/icons/markets/farmland_rich.png,70
매우 비옥한 농지,farmland_bountiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market is a veritable Eden; flowering, riotous, lush, and luminous with plant life. Branches hang low, laden with fruit; fields of golden grain shimmer in the herbaceous breeze.",graphics/icons/markets/farmland_bountiful.png,70
